2019-03-16 14:20:00.722 [main] INFO  com.terwergreen.jvueserver.JvueServerApplication - Starting JvueServerApplication on WORK with PID 18364 (C:\Users\Terwer\IdeaProjects\jvue\jvue-server\target\classes started by Terwer in C:\Users\Terwer\IdeaProjects\jvue)
2019-03-16 14:20:00.725 [main] INFO  com.terwergreen.jvueserver.JvueServerApplication - The following profiles are active: dev
2019-03-16 14:20:00.956 [main] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-03-16 14:20:00.956 [main] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-03-16 14:20:02.714 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.terwergreen.jvueserver]' package. Please check your configuration.
2019-03-16 14:20:04.814 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-03-16 14:20:04.873 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2019-03-16 14:20:04.900 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-03-16 14:20:04.900 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-03-16 14:20:04.921 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_181\bin;C:\windows\Sun\Java\bin;C:\windows\system32;C:\windows;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;C:\windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\TortoiseGit\bin;C:\Program Files (x86)\GitExtensions\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files\Microsoft VS Code\bin;C:\Users\Terwer\AppData\Local\Microsoft\WindowsApps;C:\Program Files\Java\jdk1.8.0_181\bin;C:\Software\apache-maven-3.5.4\bin;C:\Users\Terwer\AppData\Local\Programs\Python\Python36;C:\Users\Terwer\AppData\Local\Programs\Python\Python36\Scripts;C:\Software\spring-2.1.0.RELEASE\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2018.3\bin;;C:\Software\ringojs\ringojs-1.2.1\bin;C:\Software\node-v10.15.1-win-x64;;.]
2019-03-16 14:20:05.255 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
